time,H1,L1
1420878138.3296099,2.0618513584213429e-22,6.709668094924147e-22
1420878138.329854,1.1050737215132503e-22,-6.236258351713601e-22
1420878138.3300982,1.72278508249458e-22,7.961340469893108e-22
1420878138.3303423,1.7785148688806866e-22,-1.0786169520201782e-22
1420878138.3305864,-5.0639619875692213e-23,2.3420732089608907e-22
1420878138.3308306,6.830055751619494e-23,3.2720618363964207e-22
1420878138.3310747,3.1265425286370635e-22,-4.228590486779436e-23
1420878138.3313189,-3.8073841489831617e-22,6.247908068216692e-22
1420878138.331563,3.9558799352631164e-22,-8.66117515977236e-23
1420878138.3318071,-6.493951030937458e-23,1.703246720853592e-22
1420878138.3320513,-9.445676525074397e-23,-7.510987856172834e-23
1420878138.3322954,-1.538954792856886e-22,4.163874469639705e-22
1420878138.3325396,-1.760506286788627e-22,2.1714321799558514e-23
1420878138.3327837,-8.886655482028769e-23,-5.660647418206313e-25
1420878138.3330278,-1.6592008983250532e-22,3.756679212588306e-22
1420878138.333272,-3.6508634026505743e-22,-2.26551036008229e-22
1420878138.3335161,-1.8738386539460575e-22,3.9907595560890944e-22
1420878138.3337603,3.5132808288435354e-22,-1.5942170281693844e-22
1420878138.3340044,2.7419334925478363e-22,-3.8478805486336004e-23
1420878138.3342485,2.2403393483089254e-22,3.2767877534264163e-22
1420878138.3344927,-1.237832464623184e-22,1.071148455424525e-22
1420878138.3347368,6.486295605604978e-23,2.5745013858759844e-23
1420878138.334981,-2.7063143704316906e-22,3.948378272870062e-22
1420878138.335225,5.104947801298355e-22,-1.9297416566012685e-22
1420878138.3354692,-5.814601437451137e-23,2.5661435489131795e-22
1420878138.3357134,-2.8063385954706403e-22,-1.4863250824884865e-23
1420878138.3359575,2.424130920437788e-22,-9.695423232592267e-23
1420878138.3362017,6.005839723668985e-23,2.5481182561244565e-22
1420878138.3364458,-4.1782317240053325e-22,-4.7666539623744747e-23
1420878138.33669,5.1598345773619015e-22,1.7004435805561762e-22
1420878138.336934,-1.6326798467715084e-22,-1.3200309730723466e-22
1420878138.3371782,2.0102289888386127e-22,-4.189133875763836e-24
1420878138.3374224,-1.3031587961344592e-22,-6.636529564600689e-23
1420878138.3376665,-1.6290934371165897e-22,1.4706462163307048e-22
1420878138.3379107,-1.1888239070674721e-22,-2.7486119229440523e-22
1420878138.3381548,-3.1147570107484225e-22,4.052959892172669e-23
1420878138.338399,-2.8781614730954976e-22,1.207461687484538e-22
1420878138.338643,2.234142762682482e-22,9.946396811453534e-23
1420878138.3388872,-1.95567609621439e-22,-3.622359877892555e-22
1420878138.3391314,-1.3494403248514242e-22,1.6924859245181065e-22
1420878138.3393755,-1.366136005902926e-23,-1.3598064464712777e-22
1420878138.3396196,-3.4506948060945733e-23,1.739694390229408e-23
1420878138.3398638,1.3344702704397755e-22,-4.4815316880560754e-23
1420878138.340108,3.822583999996143e-23,-1.7068462316397936e-22
